product_name;flavor
AZAR Лавашики Зеленый лук 100г;Лук
AZAR Лавашики Колбаски с чесноком 100г;Колбаски с чесноком
Bruto Black Тайский острый Том Ям 75г;Том Ям
Bruto Black Черный перец 75г;Краб и перцем
BRUTO Gourmet Line Зеленый перец 80г;Перец зеленый
BRUTO Gourmet Line Копчёная соль 80г;Соль копченая
BRUTO Gourmet Line Оливки и орегано 80г;Оливки и орегано
BRUTO Gourmet Line Сливочное масло и укроп 80г;Масло и укроп
Bruto КРАФТ Морская соль 120г;Соль
Bruto КРАФТ Морская соль и перец 120г;Соль и перец черный
Bruto КРАФТ Чеснок и травы 120г;Чеснок и травы
CHEESL'S пш. Двойной сыр 100г;Сыр
CHEESL'S пш. Двойной сыр 50г;Сыр
CHEESL'S пш. Сметана и лук 100г;Сметана и лук
CHEESL'S пш. Сметана и лук 50г;Сметана и лук
CHEETOS Кетчуп 50г;Кетчуп
CHEETOS Кетчуп 85г;Кетчуп
CHEETOS Кола 45г;Кола
CHEETOS кук. Ветчина и сыр 50г;Сыр и ветчина
CHEETOS кук. Краб 85г;Краб
CHEETOS кук. Сыр  85г;Сыр
CHEETOS кук. Сыр 50г;Сыр
Crunchips X-Cut риф. Африканская чакалака 70г;Чакалака
Crunchips X-Cut риф. Паприка 70г;Паприка
Crunchips X-Cut риф. Сметана и специи 70г;Сметана и специи
Crunchips X-Cut риф. Сыр и лук 70г;Сыр и лук
Delicados кук. Барбекю 500г;Барбекю
Delicados кук. Оригинальные 150г;Оригинальные
Delicados кук. Оригинальные 500г;Оригинальные
Delicados кук. Пикантная сальса-чили 150г;Соус сальса
Delicados кук. С кусочками оливок и лобстером 150г;Лобстер и оливки
Delicados кук. С кусочками оливок и паприкой 150г;Паприка и оливки
Delicados кук. Соус ранч 150г;Соус Ранч
Delicados кук. Сыр 150г;Сыр
Golden Life Камамбер с розмарином 90г;Сыр и розмарин
Golden Life Лобстер 90г;Лобстер
Golden Life Сметана с перцем 90г;Сметана и перец
Happy Crisp Альпийский сыр 50г;Сметана и лук
Happy Crisp Альпийский сыр 50г;Сыр
Happy Crisp Альпийский сыр 50г;Томат
HOLYCORN Сметана и зелень 50г;Сметана и зелень
HOLYCORN Сыр 50г;Сыр
Lays STAX Ароматные ребрышки барбекю 140г;Ребрышки барбекю
Lays STAX Нежная сметана и лук 140г;Сметана и лук
Lays STAX Пикантная паприка 140г;Паприка
Lays Ароматные драники 125г;Драники
Lays Бекон 70г;Бекон
Lays Горчица 140г;Горчица
Lays Гуакамоле по-мексикански 125г;Гуакамоле
Lays Дижонская горчица 125г;Горчица
Lays Краб 140г;Краб
Lays Краб 225г;Краб
Lays Краб 37г;Краб
Lays Краб 70г;Краб
Lays Малосольные огурчики с укропом 140г;Огурцы малосольные и укроп
Lays МАХХ Грибы в сливочном соусе 110г;Грибы и соус сливочный
Lays МАХХ Куриные крылышки барбекю 110г;Курица
Lays МАХХ Пицца 4 сыра 110г;Пицца
Lays Молодой зеленый лук 140г;Лук
Lays Молодой зеленый лук 37г;Лук
Lays Молодой зеленый лук 70г;Лук
Lays Нежная моцарелла с песто 70г;Сыр и песто
Lays Оригинальные 140г;Оригинальные
Lays Оригинальные 70г;Оригинальные
Lays Ребрышки гриль 140г;Ребрышки гриль
Lays риф. Лобстер 140г;Лобстер
Lays риф. Лобстер 70г;Лобстер
Lays риф. Лосось в слив. соусе 140г;Лосось и соус сливочный
Lays риф. Паприка 140г;Паприка
Lays риф. Паприка 225г;Паприка
Lays риф. Паприка 70г;Паприка
